iter	Passed	Remaining
0	173	172913
1	177	88513
2	181	60287
3	184	46052
4	188	37490
5	191	31798
6	195	27688
7	198	24646
8	203	22407
9	207	20526
10	211	18999
11	215	17724
12	219	16642
13	222	15700
14	227	14928
15	231	14215
16	235	13599
17	239	13049
18	242	12544
19	246	12087
20	250	11671
21	254	11329
22	258	10970
23	262	10665
24	265	10363
25	270	10126
26	274	9877
27	277	9633
28	281	9416
29	284	9209
30	288	9017
31	292	8851
32	296	8681
33	300	8524
34	303	8372
35	307	8222
36	311	8097
37	315	7986
38	319	7871
39	323	7756
40	327	7654
41	330	7542
42	334	7447
43	340	7388
44	343	7294
45	347	7208
46	351	7124
47	355	7044
48	358	6967
49	362	6894
50	366	6820
51	370	6749
52	373	6678
53	377	6610
54	381	6548
55	386	6506
56	389	6446
57	393	6383
58	396	6325
59	400	6268
60	403	6214
61	407	6171
62	411	6126
63	415	6080
64	419	6034
65	423	5993
66	427	5950
67	430	5903
68	434	5859
69	438	5823
70	443	5797
71	446	5758
72	451	5734
73	455	5693
74	458	5658
75	462	5622
76	466	5586
77	469	5547
78	474	5527
79	477	5492
80	481	5466
81	485	5435
82	487	5385
83	490	5353
84	494	5326
85	499	5312
86	503	5282
87	507	5258
88	511	5231
89	514	5203
90	519	5190
91	523	5166
92	527	5140
93	530	5113
94	533	5086
95	537	5058
96	544	5073
97	548	5051
98	552	5026
99	555	5001
100	559	4980
101	564	4966
102	568	4953
103	572	4929
104	575	4906
105	579	4884
106	582	4859
107	586	4845
108	590	4830
109	594	4811
110	598	4789
111	601	4769
112	605	4750
113	610	4741
114	614	4728
115	618	4709
116	620	4684
117	624	4666
118	628	4650
119	634	4652
120	638	4637
121	641	4614
122	644	4595
123	648	4580
124	652	4564
125	656	4555
126	660	4538
127	664	4525
128	667	4508
129	671	4493
130	674	4475
131	679	4465
132	682	4449
133	686	4434
134	689	4417
135	693	4402
136	696	4388
137	701	4384
138	706	4374
139	709	4360
140	713	4346
141	715	4324
142	719	4309
143	723	4300
144	729	4300
145	733	4287
146	736	4275
147	740	4261
148	744	4250
149	748	4241
150	752	4233
151	756	4221
152	760	4207
153	763	4193
154	767	4181
155	771	4172
156	774	4161
157	778	4149
158	782	4137
159	785	4125
160	788	4110
161	792	4101
162	795	4087
163	799	4077
164	803	4064
165	806	4052
166	810	4042
167	814	4033
168	817	4020
169	821	4010
170	824	3997
171	827	3985
172	831	3973
173	835	3965
174	839	3959
175	843	3949
176	847	3941
177	851	3930
178	854	3921
179	858	3912
180	862	3903
181	866	3892
182	869	3882
183	873	3872
184	876	3861
185	880	3855
186	884	3847
187	888	3837
188	892	3828
189	896	3819
190	899	3809
191	903	3803
192	908	3797
193	911	3786
194	914	3776
195	919	3772
196	924	3769
197	928	3762
198	932	3753
199	936	3744
200	940	3737
201	943	3727
202	948	3722
203	951	3714
204	955	3705
205	959	3697
206	963	3689
207	966	3680
208	971	3675
209	974	3666
210	978	3657
211	982	3653
212	986	3644
213	989	3635
214	994	3631
215	998	3623
216	1001	3615
217	1004	3604
218	1008	3597
219	1012	3589
